movie_category,movie_name,movie_rating,movie_release_year,movie_url
Documentary, The Taste of Others,7.2,2000,https://yts.mx/movies/the-taste-of-others-2000
Documentary,Windsor Drive,3.1,2015,https://yts.mx/movies/windsor-drive-2015
Documentary,The Facility,4.8,2012,https://yts.mx/movies/the-facility-2012
Documentary,East Bay,6.6,2022,https://yts.mx/movies/east-bay-2022
Documentary,The Trial of the Incredible Hulk,5.8,1989,https://yts.mx/movies/the-trial-of-the-incredible-hulk-1989
Documentary,Sins of Our Youth,5.2,2014,https://yts.mx/movies/sins-of-our-youth-2014
Drama, The Room Next Door,6.9,2024,https://yts.mx/movies/the-room-next-door-2024
Drama,Skydancers,6.9,2014,https://yts.mx/movies/skydancers-2014
Drama,Famous Nathan,6.8,2014,https://yts.mx/movies/famous-nathan-2014
Drama,Love Is Now,6.2,2014,https://yts.mx/movies/love-is-now-2014
Drama,Captivated: The Trials of Pamela Smart,6.5,2014,https://yts.mx/movies/captivated-the-trials-of-pamela-smart-2014
Drama,Journey of a Female Comic,9.3,2014,https://yts.mx/movies/journey-of-a-female-comic-2014
Drama, Totto-Chan: The Little Girl at the Window,7.6,2023,https://yts.mx/movies/totto-chan-the-little-girl-at-the-window-2023
Drama,Computer Love,7.2,2014,https://yts.mx/movies/computer-love-2014
Drama, A Pain in the Ass,7.1,1973,https://yts.mx/movies/a-pain-in-the-ass-1973
Drama,Livescreamers,7.0,2023,https://yts.mx/movies/livescreamers-2023
Drama,16 Stones,4.3,2014,https://yts.mx/movies/16-stones-2014
Drama,Inheritance,5.8,2025,https://yts.mx/movies/inheritance-2025
Drama,Dogs on the Inside,8.0,2014,https://yts.mx/movies/dogs-on-the-inside-2014
Drama,Basketball 3:16,5.6,2014,https://yts.mx/movies/basketball-316-2014
Drama,Big Rage,6.1,2024,https://yts.mx/movies/big-rage-2024
Drama, Witness in the City,6.9,1959,https://yts.mx/movies/witness-in-the-city-1959
Drama,Jikirag,2.9,2022,https://yts.mx/movies/jikirag-2022
Drama,Scorpio '70,4.3,1970,https://yts.mx/movies/scorpio-70-1970
Drama,Plutonium Baby,2.7,1987,https://yts.mx/movies/plutonium-baby-1987
Drama, Chasing the Wind,6.9,2025,https://yts.mx/movies/chasing-the-wind-2025
Biography,I Am Big Bird: The Caroll Spinney Story,7.5,2014,https://yts.mx/movies/i-am-big-bird-the-caroll-spinney-story-2014
Biography, When Fall Is Coming,6.8,2024,https://yts.mx/movies/when-fall-is-coming-2024
Biography,Seed Money: The Chuck Holmes Story,6.3,2015,https://yts.mx/movies/seed-money-the-chuck-holmes-story-2015
Biography,My Italian Secret: The Forgotten Heroes,7.4,2014,https://yts.mx/movies/my-italian-secret-the-forgotten-heroes-2014
Biography,Don't Talk to Strangers,4.1,2021,https://yts.mx/movies/dont-talk-to-strangers-2021
Biography, Something Is About to Happen,5.9,2023,https://yts.mx/movies/something-is-about-to-happen-2023
Biography,Mufasa: The Lion King,6.7,2024,https://yts.mx/movies/mufasa-the-lion-king-2024
Biography, Bambi: A Tale of Life in the Woods,5.9,2024,https://yts.mx/movies/bambi-a-tale-of-life-in-the-woods-2024
Biography, Prathibha Tutorials,4.1,2024,https://yts.mx/movies/prathibha-tutorials-2024
Biography, Bonus Trip,6.8,2024,https://yts.mx/movies/bonus-trip-2024
Biography, Koparan Kardesler,3.3,2024,https://yts.mx/movies/koparan-kardesler-2024
Biography, Unmoored,6.2,2023,https://yts.mx/movies/unmoored-2023
Biography,Haunters,5.9,2014,https://yts.mx/movies/haunters-2014
Biography,Crescendo! The Power of Music,7.4,2014,https://yts.mx/movies/crescendo-the-power-of-music-2014
Biography,The Secret Handshake,5.3,2015,https://yts.mx/movies/the-secret-handshake-2015
Biography, The Pelicot Rape Case: A Town on Trial,7.0,2024,https://yts.mx/movies/the-pelicot-rape-case-a-town-on-trial-2024
Biography,Upstairs Inferno,8.0,2015,https://yts.mx/movies/upstairs-inferno-2015
Biography, La Petite et le Vieux,7.2,2024,https://yts.mx/movies/la-petite-et-le-vieux-2024
Biography,The Seventh Fire,6.1,2015,https://yts.mx/movies/the-seventh-fire-2015
Biography,The Saver,6.5,2015,https://yts.mx/movies/the-saver-2015
Action, Captain Miller,6.5,2024,https://yts.mx/movies/captain-miller-2024
Action, Me he hecho viral,5.4,2023,https://yts.mx/movies/me-he-hecho-viral-2023
Action,Hashtag Luv Swag,5.2,2015,https://yts.mx/movies/hashtag-luv-swag-2015
Action,Salvation Street,3.7,2015,https://yts.mx/movies/salvation-street-2015
Action, Onyeegwu,3.2,2023,https://yts.mx/movies/onyeegwu-2023
Action,For the Love of Ruth,7.9,2015,https://yts.mx/movies/for-the-love-of-ruth-2015
Action,Last County,5.7,2023,https://yts.mx/movies/last-county-2023
Action,Game Face,6.6,2015,https://yts.mx/movies/game-face-2015
Action,Harry Price: Ghost Hunter,6.7,2015,https://yts.mx/movies/harry-price-ghost-hunter-2015
Action,Girlfriends Getaway 2,6.5,2015,https://yts.mx/movies/girlfriends-getaway-2-2015
Action,Forgiveness,5.9,2015,https://yts.mx/movies/forgiveness-2015
Action,Never Love a Stranger,5.4,1958,https://yts.mx/movies/never-love-a-stranger-1958
Action, Bleach the Movie: Hell Verse,7.3,2010,https://yts.mx/movies/bleach-the-movie-hell-verse-2010
Action,The Joy of Logic,7.2,2013,https://yts.mx/movies/the-joy-of-logic-2013
Action,Love Me,5.7,2024,https://yts.mx/movies/love-me-2024
Action,Super Duper Alice Cooper,7.3,2014,https://yts.mx/movies/super-duper-alice-cooper-2014
Action, A Wife Confesses,7.5,1961,https://yts.mx/movies/a-wife-confesses-1961
Action, Tiger 3,5.7,2023,https://yts.mx/movies/tiger-3-2023
Action,Companion,7.3,2025,https://yts.mx/movies/companion-2025
Action, The Stone Eater,5.4,2018,https://yts.mx/movies/the-stone-eater-2018
Comedy,Juno and the Paycock,4.6,1930,https://yts.mx/movies/juno-and-the-paycock-1930
Comedy,Second Sight,6.8,2016,https://yts.mx/movies/second-sight-2016
Comedy,The Secret She Kept,6.2,2016,https://yts.mx/movies/the-secret-she-kept-2016
