,movie_category,movie_name,movie_rating,movie_release_year,movie_url
530,Thriller,SNL50: The Homecoming Concert,8.4,2025,https://yts.mx/movies/snl50-the-homecoming-concert-2025
531,Thriller, Undercover,7.3,2024,https://yts.mx/movies/undercover-2024
532,Thriller,When Love Kills: The Falicia Blakely Story,6.8,2017,https://yts.mx/movies/when-love-kills-the-falicia-blakely-story-2017
533,Thriller, Casatoria,7.3,2024,https://yts.mx/movies/casatoria-2024
534,Thriller,The Bill Murray Experience,4.8,2017,https://yts.mx/movies/the-bill-murray-experience-2017
535,Thriller, Fashion,6.9,2008,https://yts.mx/movies/fashion-2008
536,Thriller,Emmanuelle,4.2,2024,https://yts.mx/movies/emmanuelle-2024
537,Thriller,UFO CHRONICLES: The Shadow World,4.2,2017,https://yts.mx/movies/ufo-chronicles-the-shadow-world-2017
538,Thriller,Flight Risk,5.5,2025,https://yts.mx/movies/flight-risk-2025
539,Thriller,Motherland,7.1,2017,https://yts.mx/movies/motherland-2017
540,Western,Tombstone-Rashomon,4.1,2017,https://yts.mx/movies/tombstone-rashomon-2017
541,Western,Space Guardians,4.4,2017,https://yts.mx/movies/space-guardians-2017
542,Western, Broken Rage,7.6,2024,https://yts.mx/movies/broken-rage-2024
543,Western,Lifeguard,6.6,1976,https://yts.mx/movies/lifeguard-1976
544,Western, Checkmate,4.3,2024,https://yts.mx/movies/checkmate-2024
545,Western, My Way,6.9,2012,https://yts.mx/movies/my-way-2012
546,Western,Igor and the Lunatics,3.1,1985,https://yts.mx/movies/igor-and-the-lunatics-1985
547,Western," From Hilde, with Love",7.2,2024,https://yts.mx/movies/from-hilde-with-love-2024
548,Western,Forever Young,6.1,2023,https://yts.mx/movies/forever-young-2023
549,Western,Class of Nuke 'Em High Part II: Subhumanoid Meltdown,4.4,1991,https://yts.mx/movies/class-of-nuke-em-high-part-ii-subhumanoid-meltdown-1991
550,Western,Suits,4.0,1999,https://yts.mx/movies/suits-1999
551,Western,My Fault: London,5.8,2025,https://yts.mx/movies/my-fault-london-2025
552,Western,Moss,5.5,2017,https://yts.mx/movies/moss-2017
553,Western,Our Dream Christmas,5.6,2017,https://yts.mx/movies/our-dream-christmas-2017
554,Western,Mr. Chibbs,7.5,2017,https://yts.mx/movies/mr-chibbs-2017
555,Western,Kissing Candice,5.2,2017,https://yts.mx/movies/kissing-candice-2017
556,Western,Shifting Gears,5.0,2018,https://yts.mx/movies/shifting-gears-2018
557,Western, Umami,5.8,2025,https://yts.mx/movies/umami-2025
558,Western,Her Little Secret,6.9,2017,https://yts.mx/movies/her-little-secret-2017
559,Western,It's A Party,5.8,2018,https://yts.mx/movies/its-a-party-2018
560,Biography, Hilde,6.7,2009,https://yts.mx/movies/hilde-2009
561,Biography,Maternal Secrets,4.4,2018,https://yts.mx/movies/maternal-secrets-2018
562,Biography, Flatfoot in Egypt,6.1,1980,https://yts.mx/movies/flatfoot-in-egypt-1980
563,Biography,Jackson Bolt,4.3,2018,https://yts.mx/movies/jackson-bolt-2018
564,Biography,Muhammad Ali's Greatest Fight,6.7,2013,https://yts.mx/movies/muhammad-alis-greatest-fight-2013
565,Biography,Tom Arnold: Past & Present Imperfectly,5.8,2018,https://yts.mx/movies/tom-arnold-past-present-imperfectly-2018
566,Biography,It's a Date,6.3,2018,https://yts.mx/movies/its-a-date-2018
567,Biography,Bridget Jones: Mad About the Boy,7.1,2025,https://yts.mx/movies/bridget-jones-mad-about-the-boy-2025
568,Biography,Holly Near: Singing For Our Lives,7.7,2018,https://yts.mx/movies/holly-near-singing-for-our-lives-2018
569,Biography,Looking for love,7.3,2018,https://yts.mx/movies/looking-for-love-2018
570,Biography,The Baby Stealer,3.8,2018,https://yts.mx/movies/the-baby-stealer-2018
571,Biography, Julie Keeps Quiet,6.7,2024,https://yts.mx/movies/julie-keeps-quiet-2024
572,Biography, Limonov: The Ballad of Eddie,6.0,2024,https://yts.mx/movies/limonov-the-ballad-of-eddie-2024
573,Biography,"I, Dolours",7.2,2018,https://yts.mx/movies/i-dolours-2018
574,Biography,LEGO Hidden Side: Night of the Harbinger,6.7,2020,https://yts.mx/movies/lego-hidden-side-night-of-the-harbinger-2020
575,Biography, The Liberator,6.7,2013,https://yts.mx/movies/the-liberator-2013
576,Biography,Sons of Steel,5.1,1988,https://yts.mx/movies/sons-of-steel-1988
577,Biography,Marked Men,5.0,2025,https://yts.mx/movies/marked-men-2025
578,Biography, Sanam Teri Kasam,7.6,2016,https://yts.mx/movies/sanam-teri-kasam-2016
581,Comedy, Adrushya,6.8,2022,https://yts.mx/movies/adrushya-2022
585,Comedy,Puppy Bowl XXI,8.7,2025,https://yts.mx/movies/puppy-bowl-xxi-2025
586,Comedy,Catfish Killer,4.7,2022,https://yts.mx/movies/catfish-killer-2022
587,Comedy, Výjimecný stav,5.8,2024,https://yts.mx/movies/vyjimecny-stav-2024
588,Comedy,"O.J. Simpson: Blood, Lies & Murder",7.3,2023,https://yts.mx/movies/o-j-simpson-blood-lies-murder-2023
589,Comedy,Romeo + Isabella,5.3,2023,https://yts.mx/movies/romeo-isabella-2023
590,Comedy,Hard Truths,7.5,2024,https://yts.mx/movies/hard-truths-2024
591,Comedy,The Struggle,3.5,2019,https://yts.mx/movies/the-struggle-2019
592,Comedy,Boys of Summer,7.5,2010,https://yts.mx/movies/boys-of-summer-2010
593,Comedy,One of Them Days,7.1,2025,https://yts.mx/movies/one-of-them-days-2025
594,Comedy,Thanksgiving with the Carters,4.5,2019,https://yts.mx/movies/thanksgiving-with-the-carters-2019
595,Comedy,Magic,7.5,2019,https://yts.mx/movies/magic-2019
596,Comedy,In a New York Minute,7.9,2019,https://yts.mx/movies/in-a-new-york-minute-2019
597,Comedy,The Soviet Sleep Experiment,6.4,2019,https://yts.mx/movies/the-soviet-sleep-experiment-2019
598,Comedy, Take a Stan,6.2,2019,https://yts.mx/movies/take-a-stan-2019
599,Comedy," Hello, Love, Again",7.1,2024,https://yts.mx/movies/hello-love-again-2024
600,Drama,Nickel Boys,7.4,2024,https://yts.mx/movies/nickel-boys-2024
601,Drama,The Holiday Club,6.7,2024,https://yts.mx/movies/the-holiday-club-2024
602,Drama, Bomber,6.2,1982,https://yts.mx/movies/bomber-1982
603,Drama, The Lion Kid,6.0,2019,https://yts.mx/movies/the-lion-kid-2019
604,Drama,Feather Friends,2.5,2019,https://yts.mx/movies/feather-friends-2019
605,Drama,Lil' Monsters,5.5,2019,https://yts.mx/movies/lil-monsters-2019
606,Drama, Un week-end sur deux,5.7,1990,https://yts.mx/movies/un-week-end-sur-deux-1990
607,Drama,Groundhog Dave 2,5.8,2020,https://yts.mx/movies/groundhog-dave-2-2020
608,Drama,A Nymphoid Barbarian in Dinosaur Hell,2.7,1990,https://yts.mx/movies/a-nymphoid-barbarian-in-dinosaur-hell-1990
609,Drama,The Rubber-Keyed Wonder,8.0,2024,https://yts.mx/movies/the-rubber-keyed-wonder-2024
610,Drama, Troy the Bharat Putra,7.5,2024,https://yts.mx/movies/troy-the-bharat-putra-2024
611,Drama, Gaami,6.4,2024,https://yts.mx/movies/gaami-2024
612,Drama,Kinda Pregnant,5.0,2025,https://yts.mx/movies/kinda-pregnant-2025
613,Drama,The Answer,4.2,2015,https://yts.mx/movies/the-answer-2-2015
614,Drama,FairyTale: A True Story,6.5,1997,https://yts.mx/movies/fairytale-a-true-story-1997
615,Drama,The House Guest,5.0,2020,https://yts.mx/movies/the-house-guest-2020
616,Drama,The Manifestation,3.5,2024,https://yts.mx/movies/the-manifestation-2024
617,Drama,Sergio Mendes in the Key of Joy,8.3,2020,https://yts.mx/movies/sergio-mendes-in-the-key-of-joy-2020
618,Drama,Never Too Late: The Doc Severinsen Story,8.7,2020,https://yts.mx/movies/never-too-late-the-doc-severinsen-story-2020
619,Drama,Billy the Kid Versus Dracula,3.8,1966,https://yts.mx/movies/billy-the-kid-versus-dracula-1966
620,Biography,The Five Pennies,7.1,1959,https://yts.mx/movies/the-five-pennies-1959
621,Biography,Malicious,5.1,1995,https://yts.mx/movies/malicious-1995
622,Biography, Kadhalikka Neramillai,6.7,2025,https://yts.mx/movies/kadhalikka-neramillai-2025
623,Biography,Best Friends,5.1,1975,https://yts.mx/movies/best-friends-1975
624,Biography, Night Courier,7.5,2023,https://yts.mx/movies/night-courier-2023
625,Biography, El nino,6.4,2014,https://yts.mx/movies/el-nino-2014
626,Biography, The Mountain,6.1,2022,https://yts.mx/movies/the-mountain-2022
627,Biography, Una jirafa en el balcón,5.4,2024,https://yts.mx/movies/una-jirafa-en-el-balcon-2024
628,Biography,Too Funny to Fail: The Life & Death of The Dana Carvey Show,7.7,2017,https://yts.mx/movies/too-funny-to-fail-the-life-death-of-the-dana-carvey-show-2017
630,Biography,Triple D Revenge,8.4,2021,https://yts.mx/movies/triple-d-revenge-2021
631,Biography,Five Children and It,5.5,2004,https://yts.mx/movies/five-children-and-it-2004
632,Biography,Paper Heart,8.3,2021,https://yts.mx/movies/paper-heart-2021
633,Biography,Sweet Mahogany 2: Pure Indulgence,5.8,2021,https://yts.mx/movies/sweet-mahogany-2-pure-indulgence-2021
634,Biography, Mera Naam Joker,7.9,1970,https://yts.mx/movies/mera-naam-joker-1970
635,Biography, Warning 2,7.2,2024,https://yts.mx/movies/warning-2-2024
636,Biography, Fox & Hare Save the Forest,6.3,2024,https://yts.mx/movies/fox-hare-save-the-forest-2024
637,Biography,Turn Me On,6.5,2024,https://yts.mx/movies/turn-me-on-2024
638,Biography,Beezel,4.8,2024,https://yts.mx/movies/beezel-2024
